experiment,config,param_value,rep,snapshot_id,logical_ts,success,skipped,retries,duration_ms,causal_consistent,causal_violation_count,conservation_holds,recovery_verified,recovery_conservation_holds,convergence_ms,drain_ms,finalize_ms,validation_ms,commit_ms,recovery_ms,balance_sum,in_transit_total,message_count,control_bytes,write_log_entries,write_log_bytes,dependency_tags_checked,delta_blocks
cluster,row_pause_and_snap,default,1,1,116478792876490752,True,False,0,897.4588750861585,True,0,True,True,True,167.00737504288554,117.39229131489992,,0.060957856476306915,139.91704117506742,124.48029173538089,100000,0,39,4315,0,2,0,
cluster,row_pause_and_snap,default,1,2,116478793033711616,True,False,0,684.2467091046274,True,0,True,True,True,99.53237511217594,75.70037478581071,,0.02837507054209709,76.79458288475871,183.95574996247888,100000,0,39,5009,0,2,0,
cluster,row_pause_and_snap,default,1,3,116478793176973312,True,False,0,741.3226249627769,True,0,True,True,True,124.82820870354772,145.9951251745224,,0.0227498821914196,93.38879166170955,158.86933263391256,100000,0,39,5625,0,2,0,
cluster,row_pause_and_snap,default,1,4,116478793323970560,True,False,0,771.1737919598818,True,0,True,True,True,88.62791582942009,149.41116701811552,,0.03875000402331352,116.36591702699661,88.67708407342434,100000,0,39,6198,0,2,0,
cluster,row_pause_and_snap,default,1,5,116478793472868352,True,False,0,631.5280422568321,True,0,True,True,True,88.03820796310902,98.17970776930451,,0.03900006413459778,66.76479196175933,150.77862469479442,100000,0,39,6783,0,2,0,
cluster,row_pause_and_snap,default,1,6,116478793612656640,True,False,0,849.5704997330904,True,0,True,True,True,116.83358298614621,179.3605419807136,,0.04262477159500122,83.58637476339936,164.0232503414154,100000,0,39,7362,0,2,0,
cluster,row_pause_and_snap,default,1,7,116478793766731776,True,False,0,760.7653751038015,True,0,True,True,True,89.46920791640878,114.02150010690093,,0.03704102709889412,158.71079126372933,144.61691677570343,100000,0,39,7913,0,2,0,
cluster,row_pause_and_snap,default,1,8,116478793915105280,True,False,0,762.9055827856064,True,0,True,True,True,98.08550029993057,88.66937505081296,,0.0489172525703907,184.73866675049067,151.60012524574995,100000,0,39,8451,0,2,0,
cluster,row_pause_and_snap,default,1,9,116478794063413248,True,False,0,919.8619578965008,True,0,True,True,True,96.34879184886813,136.2934997305274,,0.05516689270734787,88.00537465140224,157.26975025609136,100000,0,39,8970,0,2,0,
cluster,row_pause_and_snap,default,1,10,116478794222075904,True,False,0,747.3599170334637,True,0,True,True,True,104.25791656598449,151.12429205328226,,0.054749660193920135,77.37066689878702,90.25825001299381,100000,0,39,9592,0,2,0,
cluster,row_pause_and_snap,default,1,11,116478794369400832,True,False,0,660.8348749577999,True,0,True,True,True,98.1090422719717,72.02820898965001,,0.023416709154844284,83.79362476989627,119.32637542486191,100000,0,39,10178,0,2,0,
cluster,row_pause_and_snap,default,1,12,116478794511155200,True,False,0,615.3510836884379,True,0,True,True,True,83.99079088121653,83.60899984836578,,0.044208019971847534,89.39704112708569,99.05045898631215,100000,0,39,10776,0,2,0,
cluster,row_pause_and_snap,default,1,13,116478794649894912,True,False,0,648.3662500977516,True,0,True,True,True,99.9580416828394,97.75249985978007,,0.03862520679831505,87.67162496224046,83.44770781695843,100000,0,39,11362,0,2,0,
