experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_two_phase,default,1,2756595.761420916,280.9660617888301,-1.0,349,3,2,0,0.0,348,2976.2186306006697,86.5687089972198,240,55,53,0
cluster,row_two_phase,default,1,2756596.892889166,366.1650469870052,-1.0,766,3,3,25,0.125,765,4838.75842549287,94.00000000005093,616,76,73,0
cluster,row_two_phase,default,1,2756598.028305833,219.83293288183822,-1.0,1013,3,2,25,0.125,1014,7176.007035613111,94.5715419948101,777,119,117,0
cluster,row_two_phase,default,1,2756599.165855416,439.0713070218121,-1.0,1513,3,1,53,0.265,1512,8834.781129844487,94.5715419948101,1235,139,138,0
cluster,row_two_phase,default,1,2756600.315551333,245.3030024915309,-1.0,1791,3,0,84,0.42000000000000015,1791,11119.306340135608,110.00000000012733,1447,172,172,0
cluster,row_two_phase,default,1,2756601.472395416,305.14990463638895,-1.0,2144,3,1,90,0.4500000000000002,2142,13250.986086726698,110.00000000012733,1733,205,204,0
cluster,row_two_phase,default,1,2756602.615366333,356.9242289045186,-1.0,2558,3,2,120,0.6000000000000002,2555,15084.884080201846,110.00000000012733,2093,232,230,0
cluster,row_two_phase,default,1,2756603.757165875,216.24016939681832,-1.0,2805,3,3,120,0.6000000000000002,2802,17076.434720576344,110.00000000012733,2262,272,269,0
cluster,row_two_phase,default,1,2756604.90583275,384.0899838950016,-1.0,3243,3,2,154,0.7700000000000004,3241,18984.862804133172,139.99999999987267,2647,298,296,0
cluster,row_two_phase,default,1,2756606.05582775,292.844250325582,-1.0,3579,3,0,154,0.7700000000000004,3577,21125.287352283067,139.99999999987267,2907,335,335,0
cluster,row_two_phase,default,1,2756607.206259291,382.2282818350148,-1.0,4018,3,2,186,0.9300000000000005,4017,22985.94899587124,139.99999999987267,3301,359,357,0
cluster,row_two_phase,default,1,2756608.353707041,306.21858606604576,-1.0,4369,3,1,218,1.0900000000000007,4369,25199.49295194101,139.99999999987267,3589,391,390,0
cluster,row_two_phase,default,1,2756609.484673208,225.67246470064177,-1.0,4628,3,2,218,1.0900000000000007,4628,27413.81241432964,139.99999999987267,3767,431,429,0
cluster,row_two_phase,default,1,2756610.631024166,339.5152917363022,-1.0,5013,3,3,250,1.2500000000000009,5012,29443.548591307717,139.99999999987267,4091,463,460,0
cluster,row_two_phase,default,1,2756611.766735208,241.57539431762603,-1.0,5291,3,3,250,1.2500000000000009,5289,31833.498626488563,139.99999999987267,4280,506,503,0
cluster,row_two_phase,default,1,2756612.929232583,331.97517533589945,-1.0,5667,3,3,279,1.395000000000001,5666,33709.28326054446,139.99999999987267,4600,534,531,0
cluster,row_two_phase,default,1,2756614.079807,307.24727014838976,-1.0,6023,3,0,327,1.6350000000000011,6023,35867.68988249196,149.47283314540982,4903,560,560,0
cluster,row_two_phase,default,1,2756615.217159166,275.2744396318764,-1.0,6341,3,2,327,1.6350000000000011,6340,37953.52972312458,149.47283314540982,5145,598,596,0
cluster,row_two_phase,default,1,2756616.354191166,412.8004672359253,-1.0,6811,3,2,364,1.8200000000000012,6809,39708.5973603157,171.99999999957072,5570,620,618,0
cluster,row_two_phase,default,1,2756617.503404625,256.68080648479935,-1.0,7102,3,2,364,1.8200000000000012,7101,41977.16305804033,171.99999999957072,5777,663,661,0
cluster,row_two_phase,default,1,2756618.658643041,354.32618011063573,-1.0,7510,3,2,399,1.9950000000000014,7508,43645.803350707414,171.99999999957072,6141,685,683,0
cluster,row_two_phase,default,1,2756619.832393875,215.3204229111464,-1.0,7758,3,1,399,1.9950000000000014,7757,46000.440857959344,171.99999999957072,6310,724,723,0
cluster,row_two_phase,default,1,2756620.979620916,338.20656499585704,-1.0,8153,3,2,432,2.1600000000000015,8154,47920.8963145461,171.99999999957072,6648,754,752,0
cluster,row_two_phase,default,1,2756622.111614708,344.676436142839,-1.0,8552,3,2,463,2.3150000000000017,8549,49889.91469681832,171.99999999957072,6990,781,779,0
cluster,row_two_phase,default,1,2756623.250396333,226.06579050153925,-1.0,8806,3,3,463,2.3150000000000017,8805,52137.71603099076,171.99999999957072,7170,819,816,0
cluster,row_two_phase,default,1,2756624.402300333,388.19473734603866,-1.0,9250,3,2,496,2.4800000000000018,9247,53936.080894550745,171.99999999957072,7563,843,841,0
cluster,row_two_phase,default,1,2756625.540100625,207.32568080007388,-1.0,9488,3,3,496,2.4800000000000018,9486,56153.86156796239,171.99999999957072,7719,885,882,0
