experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_two_phase,default,1,2755412.911127291,222.6986331003357,-1.0,299,3,2,0,0.0,297,2664.103539473672,89.7481250576675,205,47,45,0
cluster,row_two_phase,default,1,2755414.069697666,257.13700040448197,-1.0,593,3,3,23,0.11499999999999999,591,4178.576969436563,89.7481250576675,454,70,67,0
cluster,row_two_phase,default,1,2755415.206271333,197.6311873734735,-1.0,820,3,1,23,0.11499999999999999,820,6409.096348769708,119.24295919016004,607,107,106,0
cluster,row_two_phase,default,1,2755416.336407875,254.34691753019987,-1.0,1109,3,2,52,0.26000000000000006,1109,8154.487805653389,119.24295919016004,849,131,129,0
cluster,row_two_phase,default,1,2755417.495777958,220.1717722411833,-1.0,1358,3,0,79,0.39500000000000013,1358,10120.609477292874,119.24295919016004,1038,160,160,0
cluster,row_two_phase,default,1,2755418.628336541,207.20883128415574,-1.0,1599,3,1,79,0.39500000000000013,1598,12181.177353877956,119.24295919016004,1205,197,196,0
cluster,row_two_phase,default,1,2755419.769563625,227.76813607084492,-1.0,1856,3,2,127,0.6350000000000002,1856,13785.623099532131,155.19170789048076,1422,218,216,0
cluster,row_two_phase,default,1,2755420.920489125,195.36961589128225,-1.0,2081,3,2,127,0.6350000000000002,2079,15980.29998168704,155.19170789048076,1567,257,255,0
cluster,row_two_phase,default,1,2755422.057115291,243.36398554469733,-1.0,2359,3,1,154,0.7700000000000004,2359,17735.73068795713,155.19170789048076,1800,280,279,0
cluster,row_two_phase,default,1,2755423.196437958,216.35053797942712,-1.0,2606,3,0,156,0.7800000000000004,2605,19636.94572473287,155.19170789048076,1981,312,312,0
cluster,row_two_phase,default,1,2755424.352757541,214.88786254507107,-1.0,2853,3,3,185,0.9250000000000005,2850,21358.501977745163,155.19170789048076,2171,341,338,0
cluster,row_two_phase,default,1,2755425.501880125,242.36007636398924,-1.0,3130,3,0,212,1.0600000000000007,3130,23138.96440222834,155.99999999994907,2410,360,360,0
cluster,row_two_phase,default,1,2755426.655619125,181.85709366904769,-1.0,3339,3,3,212,1.0600000000000007,3339,25388.642573583184,155.99999999994907,2545,398,395,0
cluster,row_two_phase,default,1,2755427.805598083,234.0398713615123,-1.0,3611,3,1,250,1.2500000000000009,3609,27162.052902843243,155.99999999994907,2774,418,417,0
cluster,row_two_phase,default,1,2755428.946005416,200.82722418545248,-1.0,3841,3,1,250,1.2500000000000009,3840,29185.360575708728,155.99999999994907,2934,454,453,0
cluster,row_two_phase,default,1,2755430.082449791,248.0741110722898,-1.0,4122,3,1,275,1.3750000000000009,4123,30960.813449460147,155.99999999994907,3174,475,474,0
cluster,row_two_phase,default,1,2755431.2382555,260.5703666028582,-1.0,4419,3,0,283,1.415000000000001,4419,32412.78566080291,155.99999999994907,3421,499,499,0
cluster,row_two_phase,default,1,2755432.395491833,180.86658021299667,-1.0,4628,3,2,332,1.6600000000000013,4628,34487.7610333483,168.12149994075298,3569,530,528,0
cluster,row_two_phase,default,1,2755433.541531791,255.74689829287803,-1.0,4925,3,0,360,1.8000000000000012,4924,36319.997198022524,168.12149994075298,3822,551,551,0
cluster,row_two_phase,default,1,2755434.67099475,219.0281663571344,-1.0,5176,3,0,360,1.8000000000000012,5175,38102.99244965927,168.12149994075298,4009,583,583,0
cluster,row_two_phase,default,1,2755435.811998416,246.9633028869325,-1.0,5455,3,3,388,1.9400000000000013,5454,39729.63628441766,168.12149994075298,4238,610,607,0
cluster,row_two_phase,default,1,2755436.952242458,211.2067607951247,-1.0,5696,3,2,388,1.9400000000000013,5695,41730.17383170827,168.12149994075298,4411,643,641,0
cluster,row_two_phase,default,1,2755438.099055708,238.41554468061227,-1.0,5968,3,3,420,2.1000000000000014,5967,43369.118297457135,168.12149994075298,4639,666,663,0
cluster,row_two_phase,default,1,2755439.229823875,219.88519855607873,-1.0,6220,3,0,450,2.2500000000000018,6219,45192.825424976036,168.12149994075298,4837,691,691,0
cluster,row_two_phase,default,1,2755440.366588625,216.7105985116551,-1.0,6466,3,3,450,2.2500000000000018,6464,47089.216348610076,168.12149994075298,5013,728,725,0
cluster,row_two_phase,default,1,2755441.500669833,206.64657462273595,-1.0,6699,3,2,507,2.534999999999998,6699,49042.37560468846,172.34879080206156,5201,750,748,0
cluster,row_two_phase,default,1,2755442.637249,216.0698813544764,-1.0,6945,3,1,507,2.534999999999998,6944,51151.807018852196,172.34879080206156,5371,787,786,0
