backend,total_blocks,image_size_kb,rep,metric,value
row,256,1024,8,num_writes,25
row,256,1024,8,delta_block_count,25
row,256,1024,8,discard_us,126.12505815923214
row,256,1024,8,commit_us,958.7910026311874
row,256,1024,9,snapshot_create_us,1127.0828545093536
row,256,1024,9,write_during_snap_total_us,339.41701985895634
row,256,1024,9,write_during_snap_per_block_us,13.576680794358253
row,256,1024,9,num_writes,25
row,256,1024,9,delta_block_count,25
row,256,1024,9,discard_us,160.87479889392853
row,256,1024,9,commit_us,919.8340121656656
row,256,1024,10,snapshot_create_us,95.87500244379044
row,256,1024,10,write_during_snap_total_us,309.2079423367977
row,256,1024,10,write_during_snap_per_block_us,12.368317693471909
row,256,1024,10,num_writes,25
row,256,1024,10,delta_block_count,25
row,256,1024,10,discard_us,110.75008660554886
row,256,1024,10,commit_us,1911.7910414934158
row,1024,4096,1,snapshot_create_us,211.0837958753109
row,1024,4096,1,write_during_snap_total_us,1151.166157796979
row,1024,4096,1,write_during_snap_per_block_us,11.285942723499794
row,1024,4096,1,num_writes,102
row,1024,4096,1,delta_block_count,102
row,1024,4096,1,discard_us,314.7078678011894
row,1024,4096,1,commit_us,3218.3341681957245
row,1024,4096,2,snapshot_create_us,525.7078446447849
row,1024,4096,2,write_during_snap_total_us,3981.292014941573
row,1024,4096,2,write_during_snap_per_block_us,39.032274656289935
row,1024,4096,2,num_writes,102
row,1024,4096,2,delta_block_count,102
row,1024,4096,2,discard_us,324.29187558591366
row,1024,4096,2,commit_us,3115.5000906437635
row,1024,4096,3,snapshot_create_us,374.16606210172176
row,1024,4096,3,write_during_snap_total_us,1175.3749568015337
row,1024,4096,3,write_during_snap_per_block_us,11.523283890211115
row,1024,4096,3,num_writes,102
row,1024,4096,3,delta_block_count,102
row,1024,4096,3,discard_us,313.95815312862396
row,1024,4096,3,commit_us,3448.749892413616
row,1024,4096,4,snapshot_create_us,405.04196658730507
row,1024,4096,4,write_during_snap_total_us,4014.665959402919
row,1024,4096,4,write_during_snap_per_block_us,39.35947019022469
row,1024,4096,4,num_writes,102
row,1024,4096,4,delta_block_count,102
row,1024,4096,4,discard_us,324.0827936679125
row,1024,4096,4,commit_us,3402.541857212782
row,1024,4096,5,snapshot_create_us,860.3751193732023
row,1024,4096,5,write_during_snap_total_us,1360.7910368591547
row,1024,4096,5,write_during_snap_per_block_us,13.341088596658379
row,1024,4096,5,num_writes,102
row,1024,4096,5,delta_block_count,102
row,1024,4096,5,discard_us,411.0410809516907
row,1024,4096,5,commit_us,3172.7920286357403
row,1024,4096,6,snapshot_create_us,243.6661161482334
row,1024,4096,6,write_during_snap_total_us,1185.1659510284662
row,1024,4096,6,write_during_snap_per_block_us,11.619274029690846
row,1024,4096,6,num_writes,102
row,1024,4096,6,delta_block_count,102
row,1024,4096,6,discard_us,322.6660192012787
row,1024,4096,6,commit_us,3312.499960884452
row,1024,4096,7,snapshot_create_us,226.83292627334595
row,1024,4096,7,write_during_snap_total_us,1140.9169528633356
row,1024,4096,7,write_during_snap_per_block_us,11.185460322189565
row,1024,4096,7,num_writes,102
row,1024,4096,7,delta_block_count,102
row,1024,4096,7,discard_us,317.04199500381947
row,1024,4096,7,commit_us,3075.2921011298895
row,1024,4096,8,snapshot_create_us,558.250118046999
row,1024,4096,8,write_during_snap_total_us,1264.8750562220812
row,1024,4096,8,write_during_snap_per_block_us,12.400735845314522
